Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0603,2,1u,
"C2, C3",0603,2,22p,
C4,0603,1,0.1u,
C6,0603,1,10u,
D1,D_SOD-123F,1,D_Schottky,
D2,0603,1,LED,
F1,0603,1,500mA,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x12_P2.54mm_Vertical,2,Conn_01x12,
"R1, R2",0603,2,22,
"R3, R4",0603,2,5.1k,
R5,0603,1,330,
R6,0603,1,10k,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
U2,SOT-23-5,1,MIC5219-3.3YM5,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
